193913,297392,298062,383188,283315,296448,878280,377461,325182,868304,1469292,1470048,756401,379708,207274,1435862,461425,357031,769657,812105,47475,767183,241412,810057,183337,839552,786084,785793,796258,486110,489489,1471841,878652,755145,626502,814526,143306,344134,866702,491565,770059,770394,629896,624360,52076,43733,44563,713922,609663,840942,80109,782811,814260,784224,841641,244618,295985,244637,417226
0.3945,0.5016,0.105,0.3408,0.416,0.1031,0.1947,2.9653,0.2345,2.2954,0.2869,2.8495,0.8115,3.8247,0.194,3.9433,0.3209,1.0086,0.55,0.1831,0.824,0.086,0.3109,3.606,0.3863,1.0744,0.7922,1.5115,0.0881,0.8748,0.621,2.3758,0.8486,2.5037,0.8609,0.6295,0.4454,0.5752,2.6677,3.5232,0.2524,4.0134,0.1638,0.2537,3.6725,3.6929,0.0972,2.0494,0.6507,1.8115,0.5048,1.1608,4.0416,0.4964,1.6679,0.1765,0.1318,1.986,2.0164
0.2986,0.3463,0.1067,0.4758,0.6563,0.1874,0.5243,2.3953,0.1987,0.5669,0.4643,2.7234,0.8238,6.035,0.4714,4.4723,0.2904,1.6892,0.416,0.9324,0.9112,0.1757,0.6175,3.32,0.6338,0.5045,1.0275,1.5096,0.1052,2.1933,1.3695,3.1766,0.633,1.5811,1.3287,0.5987,0.7601,0.4646,5.9206,2.1342,1.225,2.3451,1.2413,1.0198,2.3624,2.6837,0.1072,1.7509,0.084,0.3362,0.1327,1.2068,5.5381,0.4959,2.9884,0.3163,0.1825,1.6144,0.6081
0.2757,0.2993,0.1596,0.362,0.5589,0.8495,0.2498,0.7713,0.1892,1.3705,0.3192,4.255,0.5446,5.1584,2.1841,2.0101,0.2621,1.4857,0.4549,0.2683,0.3791,0.1148,0.3248,3.5588,0.3197,0.667,0.5982,0.8966,0.1812,1.0639,0.3412,2.8763,1.2895,2.5853,1.497,0.6311,0.3951,0.5121,4.153,3.0402,1.763,4.1262,0.5944,1.074,4.7534,1.4221,0.2522,3.1979,0.1838,0.3466,0.5114,0.4098,5.0753,0.607,2.5427,0.3363,0.1688,1.451,0.4299
0.2607,3.3786,0.4292,0.9716,0.3437,0.3268,0.2664,1.6691,0.4008,3.806,0.7217,1.8124,2.8882,0.6926,3.7481,4.3301,0.62,0.4033,0.5229,0.6081,0.1961,0.1902,0.1131,6.323,0.1897,0.7018,0.8528,1.2869,0.3453,1.9688,1.7819,3.7142,0.992,2.9098,0.3696,0.1804,0.3909,0.2998,2.6395,2.1718,1.6103,5.1079,0.2769,0.754,0.4833,0.989,0.1526,3.7026,0.3586,1.1871,0.224,0.2775,6.7798,0.2547,2.1233,0.489,0.1914,2.4014,0.6155
0.4046,0.7828,0.2012,0.4327,0.3238,0.2642,0.4054,5.0489,0.3318,4.1264,0.5506,1.7677,0.8763,4.2783,0.4885,3.3461,0.3475,4.6721,0.5118,0.2854,0.7654,0.2746,0.4431,2.2279,0.2734,1.8363,0.3124,0.725,0.2197,0.7723,0.577,0.5545,1.5744,2.7092,0.9484,0.9005,0.493,0.2031,0.9804,2.083,0.9243,3.9941,1.5028,0.7351,1.9377,1.6311,0.179,1.4109,0.3173,1.4613,0.6995,0.5543,4.5705,0.9249,2.1535,0.1979,0.106,1.0644,0.5996
0.3874,0.3744,0.2316,0.3488,0.3646,0.2582,0.3672,5.6387,0.2469,0.8568,0.4577,1.6055,0.6637,5.812,0.7248,5.0741,0.3146,5.3214,0.6068,0.3732,0.9961,0.1328,0.572,1.9949,0.3454,1.086,0.8423,1.4002,0.2154,1.0755,0.3974,2.0184,0.9588,2.2142,0.9536,0.4087,0.3895,0.9869,2.3163,4.0265,0.5156,3.4064,0.4395,0.475,5.2037,7.1461,0.147,4.0332,0.9717,2.464,0.4202,1.1088,4.0174,0.4379,1.9601,0.1583,0.1111,1.135,2.1668
0.4294,0.5708,0.3942,0.5604,0.5757,0.5286,0.3487,4.069,0.1658,1.7984,0.6279,5.1028,0.6772,5.9673,1.0773,6.4894,0.4926,1.6668,0.5677,0.4885,0.589,0.4039,0.5746,4.1762,0.3844,0.9306,0.4611,0.5509,0.368,0.4415,0.6718,4.1045,1.1389,1.7512,0.8544,0.6876,0.4775,0.3222,6.2957,1.6644,1.3429,2.6916,0.4702,0.6784,5.4732,3.5422,0.308,2.5074,1.006,1.1759,0.4473,0.7565,1.7546,0.3681,3.1885,0.3656,0.5527,0.7216,1.0788
0.2663,0.2372,0.2386,0.3872,0.3714,0.2313,0.3063,4.7007,0.3558,1.4026,0.4346,4.7892,0.5773,6.6194,0.385,5.1036,0.4743,6.3978,0.6328,0.5303,0.2356,0.2217,0.3296,4.1587,0.2793,0.7572,0.5351,0.7925,0.1826,0.7747,0.2945,4.6194,0.849,3.9255,0.4288,0.555,0.3797,0.52,3.7859,2.3657,0.7101,2.3477,0.5391,1.176,7.6821,4.0252,0.2914,1.8908,0.5255,0.7223,0.2774,0.2988,3.1754,0.2623,3.5232,0.3059,0.179,1.1392,1.0393
0.2289,0.6252,0.1409,0.3292,0.3485,0.2128,0.1623,8.2508,0.3728,1.2173,0.3162,6.002,0.5182,7.9916,0.5931,8.0304,0.3676,6.4983,0.3667,0.1999,0.3411,0.1402,0.2182,1.7096,0.1439,0.9607,0.4658,0.8067,0.1653,1.2992,0.3326,5.4503,0.5584,1.9545,0.4388,0.3603,0.4889,0.3268,2.7115,2.7368,0.6541,3.6247,0.1542,1.0694,8.8089,8.5556,0.1807,1.9593,0.4778,0.8363,0.1843,0.4592,3.2994,0.1808,2.4477,0.1562,0.1546,1.0208,1.0181
1.1837,0.7807,0.2241,0.8943,0.2638,4.7662,0.397,6.6968,0.1434,8.2478,0.2728,1.2447,0.5598,3.4522,7.5469,5.334,0.3341,1.0378,0.5771,0.2173,0.4818,0.4107,0.2686,2.1413,1.4037,1.3649,0.2074,0.5209,0.1682,0.31,0.2891,0.7802,4.5013,0.5579,2.5731,0.3673,0.8278,2.8694,0.272,1.6514,3.8993,2.5821,1.5768,0.698,1.5534,5.273,0.2684,2.3691,1.5378,6.9829,2.9521,0.7618,1.6202,0.4885,0.8037,0.3695,0.1627,0.8815,0.5286
