ID,x,y
1150,-8.667331088,41.14964257
1151,-8.666030446,41.15305675
1152,-8.669282052,41.15273159
1153,-8.664242064,41.15045547
1154,-8.663266582,41.15289417
1155,-8.661640779,41.15061805
1156,-8.663104002,41.14850451
1157,-8.665705286,41.14785419
1158,-8.66846915,41.15451998
1159,-8.666193027,41.15500772
1160,-8.663591743,41.1551703
1161,-8.661153039,41.15370708
1162,-8.667331088,41.15175611
1163,-8.659527236,41.15224385
1164,-8.669444632,41.15045547
1165,-8.66798141,41.14817935
1166,-8.663754323,41.1468787
1167,-8.661315619,41.14850451
1168,-8.659527236,41.15045547
1169,-8.579537749,41.20166825
1170,-8.575635823,41.19825407
1171,-8.574660341,41.19240118
1172,-8.577261626,41.18703603
1173,-8.582301614,41.18248378
1174,-8.589617725,41.18410958
1175,-8.594495133,41.18914957
1176,-8.593519651,41.1954902
1177,-8.589942886,41.20053019
1178,-8.584577737,41.20264373
1179,-8.589617725,41.18914957
1180,-8.588479663,41.19500246
1181,-8.58604096,41.19939213
1182,-8.582789354,41.19500246
1183,-8.579700329,41.19679084
1184,-8.581326132,41.18703603
1185,-8.585715799,41.19045021
1186,-8.57986291,41.19158828
1187,-8.585715799,41.18573539
1190,-8.63042537,41.14671612
1191,-8.627661506,41.14655354
1192,-8.625060221,41.14655354
1193,-8.622133777,41.14671612
1194,-8.619369912,41.14671612
1195,-8.616280887,41.14671612
1196,-8.613842184,41.14671612
1197,-8.61140348,41.1468787
1198,-8.608151875,41.1468787
1199,-8.60506285,41.14671612
1200,-8.602624146,41.1468787
1201,-8.599372541,41.1468787
1202,-8.596120936,41.1468787
1203,-8.628962148,41.14834193
1204,-8.626035703,41.14817935
1205,-8.627661506,41.15029289
1206,-8.62408474,41.14850451
1207,-8.625385382,41.15013031
1208,-8.620833135,41.14850451
1209,-8.622946678,41.15045547
1210,-8.61758153,41.14850451
1211,-8.620345394,41.15078063
1212,-8.614817665,41.14866709
1213,-8.616768628,41.15045547
1214,-8.612378961,41.14866709
1215,-8.614492505,41.15094321
1216,-8.629775049,41.15013031
1217,-8.631563432,41.14866709
1218,-8.610102838,41.14817935
1219,-8.611240899,41.15045547
1220,-8.606688652,41.14834193
1221,-8.608964776,41.14964257
1222,-8.604249948,41.14834193
1223,-8.606526072,41.15078063
1224,-8.601648664,41.14850451
1225,-8.603274467,41.15045547
1226,-8.597909318,41.14834193
1227,-8.600022862,41.14964257
1228,-8.595795775,41.14882967
1229,-8.598234479,41.15061805
1230,-8.594495133,41.14785419
1231,-8.617093789,41.15647094
1232,-8.615305406,41.15647094
1233,-8.613191863,41.15630836
1234,-8.61172864,41.157609
1235,-8.614004764,41.15825932
1236,-8.615955727,41.15825932
1237,-8.61790669,41.15809674
1238,-8.615142826,41.15988513
1239,-8.612866702,41.15972255
1240,-8.617418949,41.15988513
1241,-8.614167344,41.16086061
1242,-8.616443468,41.16118577
1243,-8.596120936,41.15061805
1244,-8.593844812,41.15029289
1245,-8.59238159,41.14834193
1246,-8.593519651,41.1468787
1247,-8.591406108,41.14704129
1248,-8.591568688,41.15013031
1249,-8.590268046,41.14866709
1250,-8.589617725,41.15061805
1251,-8.587829342,41.14899225
1252,-8.589617725,41.14720387
1253,-8.587504182,41.14736645
1254,-8.587666762,41.15094321
1255,-8.585715799,41.14834193
1256,-8.585553219,41.15045547
1257,-8.682776213,41.16590059
1258,-8.684239435,41.16801414
1259,-8.685865238,41.1699651
1260,-8.686352979,41.17256639
1261,-8.685865238,41.17516767
1262,-8.684239435,41.17711863
1263,-8.682125892,41.17874444
1264,-8.680012349,41.18004508
1265,-8.677898805,41.1806954
1266,-8.675460101,41.18118314
1267,-8.672696237,41.18118314
1268,-8.670420113,41.18102056
1269,-8.66798141,41.1806954
1270,-8.665542706,41.1798825
1271,-8.662941422,41.17890702
1272,-8.663104002,41.17695605
1273,-8.665054965,41.17760637
1274,-8.667656249,41.17858186
1275,-8.670257533,41.17939476
1276,-8.671720755,41.17939476
1277,-8.67432204,41.17939476
1278,-8.676598163,41.17923218
1279,-8.678549126,41.17890702
1280,-8.680337509,41.17793153
1281,-8.681475571,41.17679347
1282,-8.682938793,41.17565541
1283,-8.684402016,41.17370445
1284,-8.684239435,41.1715909
1285,-8.683589114,41.16963994
1286,-8.682125892,41.16801414
1287,-8.680337509,41.16687608
1288,-8.678386546,41.16638834
1289,-8.676273003,41.16638834
1290,-8.673834299,41.16573801
1291,-8.671883336,41.16476253
1292,-8.673346558,41.16346189
1293,-8.675134941,41.16443737
1294,-8.677573645,41.16476253
1295,-8.679524608,41.16492511
1296,-8.681963312,41.16476253
1297,-8.684402016,41.16573801
1298,-8.685540077,41.16720124
1299,-8.6870033,41.16866446
1300,-8.68749104,41.17094058
1301,-8.687653621,41.17272897
1302,-8.687653621,41.17500509
1303,-8.686515559,41.17695605
1304,-8.684889756,41.17841927
1305,-8.683263954,41.1798825
1306,-8.681475571,41.18118314
1307,-8.679687188,41.18183346
1308,-8.677085904,41.18248378
1309,-8.67480978,41.18280894
1310,-8.672533657,41.18280894
1311,-8.670907854,41.18248378
1312,-8.66830657,41.18215862
1313,-8.665867866,41.18167088
1314,-8.663754323,41.1806954
1315,-8.666843348,41.17923218
1316,-8.675460101,41.17256639
1317,-8.674159459,41.17191606
1318,-8.672533657,41.17094058
1319,-8.670907854,41.16931478
1320,-8.669119471,41.16817672
1321,-8.667493669,41.16736382
1322,-8.665217545,41.1667135
1323,-8.662941422,41.1667135
1324,-8.660502718,41.16703866
1325,-8.6746472,41.17321671
1326,-8.672858817,41.17305413
1327,-8.672045916,41.17175348
1328,-8.670094953,41.170778
1329,-8.66830657,41.16963994
1330,-8.666843348,41.16850188
1331,-8.664892385,41.16850188
1332,-8.663429162,41.16866446
1333,-8.661640779,41.16866446
1334,-8.659364656,41.16817672
1335,-8.665542706,41.16980252
1336,-8.667656249,41.170778
1337,-8.668956891,41.1715909
1338,-8.663916903,41.17012768
1339,-8.661640779,41.17012768
1340,-8.659202076,41.17012768
1341,-8.658064014,41.16882704
1342,-8.660665298,41.1715909
1343,-8.656925952,41.170778
1344,-8.658714335,41.17175348
1345,-8.657251112,41.17224123
1346,-8.659039495,41.17321671
1347,-8.65578789,41.1715909
1348,-8.654812409,41.17321671
1349,-8.656600791,41.17386703
1350,-8.658064014,41.17484251
1351,-8.65595047,41.17549283
1352,-8.654324668,41.17500509
1353,-8.654812409,41.17711863
1354,-8.652861445,41.17565541
1355,-8.653349186,41.17744379
1356,-8.651398223,41.17646831
1357,-8.652048544,41.17841927
1358,-8.654487248,41.17890702
1359,-8.653186606,41.1798825
1360,-8.651235643,41.18004508
1361,-8.650422742,41.17825669
1362,-8.648634359,41.17874444
1363,-8.64960984,41.18037024
