Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
1.473,2.311,-1.1078940962975032,2.6660000000000004,0.2795,0.2771,0.2234,0.1855,0.2539,1.138,1.111,0.022968197879858487,3.179,4.712,0.7361228417985296
1.46,2.377,-1.0784447959200134,2.92,0.2527,0.3064,0.02563,0.1965,0.3027,1.213,1.0270000000000001,0.686395759717314,3.214,5.462999999999999,0.8074067469831082
1.5519999999999998,2.164,-1.2046560832521123,2.745,0.282,0.21,0.1721,0.1929,0.21,1.2209999999999999,1.058,0.5706713780918736,3.0639999999999996,5.332000000000001,0.7644179412366467
1.605,2.228,-1.1331363537639232,2.8339999999999996,0.2917,0.3613,0.2087,0.1294,0.2734,1.1440000000000001,1.062,0.12632508833922246,3.1489999999999996,4.829,0.7608907278812748
1.534,2.114,-0.9985109806096845,2.9760000000000004,0.21,0.2502,0.2258,0.177,0.2039,1.254,1.112,0.9257950530035338,3.3089999999999997,5.734,0.832015339366154
1.796,2.262,-1.1070526877152889,2.888,0.2966,0.1477,0.1624,0.282,0.2039,1.172,1.03,0.1545936395759724,3.18,4.861000000000001,0.7740117459883903
1.5659999999999998,2.323,-0.8638856074554458,2.7110000000000003,0.2417,0.05371,0.2112,-0.026860000000000002,0.2197,1.158,0.9924,0.08303886925795083,3.469,4.78,0.7224169384835419
1.425,2.1519999999999997,-1.0170219694183922,2.781,0.2991,0.2075,0.1038,0.1147,0.2698,1.271,1.115,0.8621908127208491,3.287,5.662000000000001,0.798672403608538
1.595,2.271,-0.9867312604586884,2.7430000000000003,0.1733,0.1965,0.1685,0.058589999999999996,0.2051,1.29,1.033,0.4054770318021199,3.323,5.145,0.7627279809452859
1.6280000000000001,2.211,-1.1104183220441448,2.71,0.08423,0.1892,0.2783,0.1685,0.3491,1.155,1.008,0.8189045936395759,3.176,5.6129999999999995,0.7908180226329525
1.5830000000000002,2.253,-1.024594646658318,2.8539999999999996,0.1489,0.1099,0.2283,0.07324,0.2173,1.135,1.112,0.7623674911660776,3.278,5.5489999999999995,0.7877010703756465
1.454,2.2769999999999997,-0.9875726690409024,2.866,0.3015,0.2832,0.2124,0.1562,0.2637,1.14,1.229,0.21466431095406316,3.322,4.928999999999999,0.7841743034927634
1.617,2.1830000000000003,-1.0683478929334451,2.71,0.1221,0.2563,0.01587,0.1404,0.2856,1.255,1.033,0.6095406360424034,3.2260000000000004,5.376,0.7632885619257465
1.482,2.344,-1.1062112791330752,2.8939999999999997,0.2344,0.1782,0.2307,0.2051,0.2637,0.9558,1.0859999999999999,0.41607773851590124,3.181,5.157,0.7653138716152355
1.443,2.26,-1.1381848052572066,2.705,0.2808,0.09644,0.1929,0.2197,0.2344,1.133,1.083,0.847173144876325,3.1430000000000002,5.645,0.7797690283015933
1.4769999999999999,2.349,-1.2601890496782353,2.9939999999999998,0.2466,0.1953,0.1794,0.09277,0.0415,1.227,1.075,0.8833922261484102,2.998,5.686,0.7917310980391813
1.527,2.206,-0.9875726690409024,2.892,0.21,0.1465,0.09521,0.1648,0.1929,1.222,1.071,0.454063604240283,3.322,5.2,0.7661584112666149
1.599,2.296,-0.8891278649218658,2.662,0.2014,0.1941,0.2271,0.1343,0.08789,1.183,1.1179999999999999,0.5989399293286221,3.4389999999999996,5.364,0.7843835053672296
1.587,2.3080000000000003,-0.9522335085879149,2.866,0.2625,0.1624,0.1025,0.2246,0.2991,1.218,1.158,0.057420494699647,3.364,4.751,0.7744405821759776
1.521,2.366,-1.087700290324367,2.986,0.2173,0.271,0.177,0.1306,0.2844,1.2429999999999999,1.006,0.3268551236749119,3.2030000000000003,5.056,0.7867879027792121
